License Year, Hunting District,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2004,212,SUM,1785,12177,7,287,154,125,8,27,260,35,85,33
2004,213,N,77,332,4,14,13,1,0,0,14,3,10,0
2004,213,R,616,4567,7,160,58,100,2,7,152,13,31,14
2004,213,SUM,693,4900,7,174,71,101,2,7,167,16,41,14
2004,214,N,79,507,6,6,2,4,0,0,6,0,2,0
2004,214,R,620,4252,7,52,25,24,3,3,49,15,7,3
2004,214,SUM,699,4759,7,58,27,27,3,3,55,15,9,3
2004,215,N,146,1077,7,25,21,4,0,3,22,0,16,5
2004,215,R,1668,11831,7,224,149,71,4,15,209,0,109,40
2004,215,SUM,1814,12909,7,249,170,75,4,18,231,0,125,44
2004,216,N,101,486,5,10,8,2,0,8,2,0,2,6
2004,216,R,498,3023,6,61,26,28,7,3,58,4,10,12
2004,216,SUM,599,3509,6,70,34,30,7,11,59,4,11,18
2004,240,N,130,566,4,17,10,4,3,0,17,0,7,3
2004,240,R,1757,11353,7,267,93,167,7,17,251,0,55,38
2004,240,SUM,1887,11920,6,285,103,172,10,17,268,0,62,41
2004,250,N,261,1685,6,35,16,15,3,7,28,3,13,0
2004,250,R,1847,12967,7,346,84,237,25,21,324,0,61,22
2004,250,SUM,2108,14652,7,380,100,252,28,28,353,3,74,22
2004,260,N,5,11,2,0,0,0,0,0,0,0,0,0
2004,260,R,128,964,8,8,8,0,0,6,3,0,6,3
2004,260,SUM,133,975,7,8,8,0,0,6,3,0,6,3
2004,261,N,120,522,4,8,7,2,0,3,5,0,7,0
2004,261,R,1063,6189,6,180,59,112,10,13,167,3,34,22
2004,261,SUM,1182,6711,6,188,65,113,10,16,172,3,40,22
2004,270,N,468,2676,6,65,41,15,10,13,52,3,18,19
2004,270,R,3275,22178,7,440,162,235,44,23,417,0,114,48
2004,270,SUM,3743,24854,7,505,202,250,53,36,469,3,132,67
2004,280,N,119,740,6,30,30,0,0,3,27,0,9,21
2004,280,R,225,1065,5,40,30,8,3,1,39,0,14,16
2004,280,SUM,344,1805,5,70,60,8,3,5,66,0,22,37
2004,281,N,173,1093,6,18,13,5,0,3,15,0,10,3
2004,281,R,1314,8149,6,106,35,63,8,10,96,3,25,7
2004,281,SUM,1487,9242,6,124,48,69,8,13,111,3,35,11
2004,282,N,36,242,7,3,3,0,0,0,3,0,3,0
2004,282,R,261,1464,6,34,8,24,3,6,28,4,0,3
2004,282,SUM,296,1706,6,38,11,24,3,6,32,4,3,3
2004,283,N,62,296,5,5,3,0,1,0,5,0,3,0
2004,283,R,1353,7669,6,119,58,57,4,10,109,13,31,11
2004,283,SUM,1415,7965,6,123,61,57,6,10,113,13,34,11
2004,284,N,46,235,5,0,0,0,0,0,0,0,0,0
2004,284,R,132,777,6,27,24,0,3,10,17,3,11,10
2004,284,SUM,178,1011,6,27,24,0,3,10,17,3,11,10
2004,285,N,187,1197,6,19,16,3,0,3,16,3,9,3
2004,285,R,1598,10241,6,148,90,49,9,10,138,27,46,16
2004,285,SUM,1785,11438,6,167,106,52,9,13,154,31,56,20
2004,290,N,24,154,6,3,3,0,0,3,0,0,0,3
2004,290,R,164,1048,6,38,9,28,2,15,23,0,7,2
2004,290,SUM,188,1202,6,42,12,28,2,18,23,0,7,5
2004,291,N,113,625,6,21,16,3,0,10,11,0,3,13
2004,291,R,765,4724,6,187,52,115,20,3,184,0,41,11
2004,291,SUM,878,5349,6,208,68,118,20,13,195,0,45,24
2004,292,N,136,812,6,19,16,3,0,0,19,10,6,0
2004,292,R,1945,13271,7,315,159,142,13,14,300,29,88,39
2004,292,SUM,2081,14083,7,333,175,145,13,14,319,39,94,39
2004,293,N,141,793,6,14,13,1,0,3,11,0,3,10
2004,293,R,1364,8774,6,185,110,71,3,16,169,2,86,23
2004,293,SUM,1505,9567,6,199,123,72,3,19,180,2,89,32
2004,2XX,N,10,68,7,3,3,0,0,0,3,0,3,0
2004,2XX,R,286,1697,6,61,13,44,4,0,61,2,9,2
2004,2XX,SUM,296,1766,6,64,16,44,4,0,64,2,13,2
2004,300,N,211,947,5,39,32,7,0,0,39,10,19,3
2004,300,R,833,4235,5,220,119,90,12,11,209,40,49,30
2004,300,SUM,1044,5181,5,259,151,97,12,11,248,49,69,33
2004,301,N,121,624,5,10,10,0,0,3,7,0,6,3
2004,301,R,1111,5174,5,108,74,30,4,23,86,0,38,36
2004,301,SUM,1232,5797,5,118,84,30,4,26,92,0,44,39
2004,302,N,237,897,4,23,21,2,0,0,23,0,14,6
2004,302,R,533,2812,5,113,30,65,18,7,106,0,27,3
2004,302,SUM,770,3709,5,136,51,67,18,7,129,0,41,10
2004,310,N,218,1108,5,38,37,1,0,5,33,0,29,8
2004,310,R,943,4880,5,103,84,15,3,17,86,0,38,46
2004,310,SUM,1161,5987,5,141,122,17,3,21,119,0,67,54
2004,311,N,101,494,5,40,36,0,4,7,33,0,0,36
2004,311,R,1004,4465,4,228,78,133,18,10,218,2,30,45
2004,311,SUM,1105,4959,5,268,113,133,22,17,252,2,30,80
2004,312,N,82,380,5,34,27,7,0,2,32,0,6,21
2004,312,R,1010,4492,4,168,76,86,3,17,151,0,52,24
2004,312,SUM,1092,4872,5,202,103,93,3,18,183,0,59,45
2004,313,N,248,1269,5,56,44,13,0,0,56,0,7,38
2004,313,R,1285,4135,3,465,70,370,25,1,463,3,7,57
2004,313,SUM,1533,5404,4,521,113,382,25,1,520,3,13,95
2004,314,N,635,3520,6,166,124,39,2,7,159,13,40,71
2004,314,R,1746,8728,5,372,120,233,19,9,363,29,44,43
2004,314,SUM,2381,12249,5,537,244,272,20,16,522,42,85,114
2004,315,N,252,1217,5,79,45,27,3,0,79,13,19,13
2004,315,R,1146,6326,6,302,119,170,13,21,281,34,50,35
2004,315,SUM,1398,7543,5,381,164,198,16,21,360,47,70,48
2004,316,N,228,1228,5,52,48,3,0,0,52,0,10,39
2004,316,R,153,922,6,8,6,3,0,0,8,0,3,3
2004,316,SUM,381,2150,6,60,54,6,0,0,60,0,13,41
2004,317,N,117,508,4,29,19,10,0,3,26,3,3,13
2004,317,R,588,3382,6,113,41,73,0,2,112,11,15,15
2004,317,SUM,706,3890,6,142,60,83,0,5,138,14,18,28
2004,318,N,82,479,6,5,3,2,0,0,5,0,3,0
2004,318,R,906,7754,9,89,55,35,0,9,81,0,41,14
2004,318,SUM,988,8233,8,94,58,37,0,9,86,0,44,14
2004,319,N,239,1655,7,43,24,16,3,10,34,0,21,3
2004,319,R,2181,18058,8,301,106,172,22,19,282,0,89,17
2004,319,SUM,2421,19714,8,344,130,188,26,28,316,0,110,20
2004,320,N,228,974,4,41,32,9,0,3,37,0,23,9
2004,320,R,913,4820,5,164,98,56,9,20,144,6,69,24
2004,320,SUM,1141,5794,5,204,130,65,9,23,182,6,91,33
2004,321,N,331,2091,6,65,47,16,2,19,45,16,20,11
2004,321,R,1789,9654,5,289,132,131,25,41,247,34,52,47
2004,321,SUM,2120,11745,6,353,179,147,27,61,293,50,71,58
2004,322,N,127,599,5,24,18,7,0,3,21,0,15,3
2004,322,R,541,2710,5,107,34,71,3,4,103,0,17,14
2004,322,SUM,668,3309,5,132,51,78,3,8,124,0,31,17
2004,323,N,335,1989,6,74,39,29,3,23,52,0,19,19
2004,323,R,1030,4753,5,210,71,129,10,10,200,3,49,19
2004,323,SUM,1365,6743,5,284,110,158,13,32,252,3,68,39
2004,324,N,679,3974,6,123,62,55,7,10,113,0,44,18
2004,324,R,1730,9425,5,366,122,220,24,14,352,0,103,19
2004,324,SUM,2409,13399,6,489,183,275,30,24,465,0,147,36
2004,325,N,323,1324,4,58,29,23,3,3,55,0,23,7
2004,325,R,1489,7115,5,280,72,176,32,15,265,0,59,13
2004,325,SUM,1813,8438,5,338,101,199,35,19,320,0,82,19
2004,326,N,305,1416,5,45,19,19,3,0,45,0,13,7
2004,326,R,1119,4712,4,161,38,108,13,6,156,0,32,6
2004,326,SUM,1424,6127,4,206,57,127,16,6,201,0,45,12
2004,327,N,407,2554,6,103,55,45,3,7,97,0,29,23
2004,327,R,1589,7854,5,360,90,225,45,20,340,0,58,32
2004,327,SUM,1996,10408,5,463,145,270,48,26,437,0,87,55
2004,328,N,331,1873,6,89,53,19,16,19,70,24,19,10
2004,328,R,767,4056,5,161,57,90,14,13,149,17,18,20
2004,328,SUM,1099,5929,5,250,111,109,30,32,218,41,38,29
2004,329,N,488,2952,6,77,42,26,10,10,68,7,23,13
2004,329,R,1758,9200,5,282,92,171,20,20,262,14,50,26
2004,329,SUM,2246,12152,5,360,134,196,29,30,330,20,73,39
2004,330,N,446,2306,5,79,50,26,3,10,70,0,24,26
2004,330,R,1344,6764,5,219,93,113,14,13,206,3,53,37
2004,330,SUM,1790,9071,5,299,143,138,17,23,276,3,78,63
2004,331,N,361,2015,6,42,23,13,7,0,42,10,6,7
2004,331,R,2217,15293,7,281,101,138,42,6,275,30,48,24
2004,331,SUM,2578,17308,7,323,124,151,48,6,317,39,54,30
2004,332,N,447,2423,5,70,29,35,7,7,64,10,16,3
2004,332,R,1558,9593,6,222,81,129,13,16,207,11,45,24
2004,332,SUM,2006,12016,6,293,110,164,19,22,271,21,62,27
2004,333,N,82,537,7,11,9,0,2,0,11,0,9,0
2004,333,R,787,4737,6,104,37,56,10,8,97,3,23,11
2004,333,SUM,869,5274,6,115,46,56,12,8,107,3,32,11
2004,335,N,44,264,6,0,0,0,0,0,0,0,0,0
2004,335,R,917,6951,8,103,50,48,5,15,87,0,26,23
2004,335,SUM,961,7215,8,103,50,48,5,15,87,0,26,23
2004,339,N,40,281,7,8,3,2,3,3,5,0,3,0
2004,339,R,691,4864,7,123,60,55,7,7,116,44,8,8
2004,339,SUM,731,5145,7,131,64,57,10,11,120,44,11,8
2004,340,N,139,729,5,19,15,4,0,0,19,0,7,8
2004,340,R,1406,10208,7,185,92,80,13,18,167,3,72,17
2004,340,SUM,1544,10936,7,204,107,84,13,18,186,3,79,26
2004,341,N,57,258,5,0,0,0,0,0,0,0,0,0
2004,341,R,949,6996,7,75,27,33,15,11,64,0,16,11
2004,341,SUM,1007,7254,7,75,27,33,15,11,64,0,16,11
2004,343,N,54,220,4,8,5,3,0,0,8,0,2,3
2004,343,R,1079,7863,7,97,43,44,10,8,89,7,19,17
2004,343,SUM,1133,8083,7,105,48,47,10,8,97,7,20,20
2004,350,N,72,434,6,3,3,0,0,0,3,0,0,3
2004,350,R,739,5382,7,71,31,33,7,8,63,0,23,8
2004,350,SUM,810,5816,7,74,34,33,7,8,66,0,23,12
2004,360,N,356,1818,5,102,86,13,0,7,95,0,29,57
2004,360,R,1521,7461,5,396,149,206,42,16,380,4,84,58
2004,360,SUM,1877,9279,5,498,234,218,42,23,476,4,113,114
2004,361,N,104,484,5,20,16,4,0,3,17,0,16,0
2004,361,R,469,3991,9,54,15,32,6,11,43,0,4,11
2004,361,SUM,573,4475,8,74,32,36,6,14,60,0,20,11
2004,362,N,258,1450,6,71,28,34,7,0,71,0,12,16
2004,362,R,935,4064,4,297,83,193,22,12,285,3,59,21
2004,362,SUM,1193,5514,5,368,110,226,28,12,356,3,70,37
2004,370,N,27,104,4,7,7,0,0,3,3,0,3,3
2004,370,R,510,3529,7,62,31,32,0,3,60,0,21,10
2004,370,SUM,537,3633,7,69,37,32,0,6,63,0,24,13
2004,380,N,291,1853,6,54,32,18,0,19,34,10,10,13
2004,380,R,2241,16625,7,352,220,118,13,30,322,144,14,62
2004,380,SUM,2532,18478,7,405,252,136,13,50,356,153,24,75
2004,390,N,62,272,4,23,21,2,0,0,23,0,3,18
2004,390,R,458,1927,4,174,42,127,6,2,172,0,14,28
2004,390,SUM,521,2199,4,196,62,128,6,2,195,0,17,45
2004,391,N,267,1343,5,71,66,5,0,10,62,0,37,29
2004,391,R,897,5833,7,200,93,90,17,10,190,0,55,38
2004,391,SUM,1163,7176,6,272,159,95,17,20,252,0,92,67
2004,392,N,109,797,7,20,13,7,0,3,17,0,7,7
2004,392,R,1771,11952,7,288,112,162,12,30,257,6,70,37
2004,392,SUM,1880,12749,7,307,125,169,12,34,274,6,77,43
2004,393,N,198,839,4,60,57,0,3,5,55,0,34,23
2004,393,R,1599,7641,5,343,153,179,11,21,322,6,78,68
2004,393,SUM,1797,8480,5,403,210,179,14,26,377,6,112,90
2004,3XX,N,238,1723,7,39,36,3,0,3,36,0,19,16
2004,3XX,R,69,425,6,14,3,7,4,0,14,0,3,0
2004,3XX,SUM,308,2148,7,53,38,11,4,3,50,0,22,16
2004,400,N,0,0,0,0,0,0,0,0,0,0,0,0
2004,400,R,38,176,5,4,3,1,0,3,1,3,0,0
2004,400,SUM,38,176,5,4,3,1,0,3,1,3,0,0
2004,401,N,26,147,6,11,10,2,0,10,2,0,3,7
2004,401,R,222,1033,5,35,16,15,3,8,26,2,8,6
2004,401,SUM,248,1179,5,46,26,17,3,18,28,2,11,13
2004,403,N,0,0,0,0,0,0,0,0,0,0,0,0
2004,403,R,10,28,3,0,0,0,0,0,0,0,0,0
2004,403,SUM,10,28,3,0,0,0,0,0,0,0,0,0
2004,404,N,0,0,0,0,0,0,0,0,0,0,0,0
2004,404,R,69,187,3,7,4,3,0,3,4,0,4,0
2004,404,SUM,69,187,3,7,4,3,0,3,4,0,4,0
2004,405,N,3,13,4,0,0,0,0,0,0,0,0,0
2004,405,R,19,81,4,3,3,0,0,3,0,0,3,0
2004,405,SUM,23,94,4,3,3,0,0,3,0,0,3,0
2004,406,N,0,0,0,0,0,0,0,0,0,0,0,0
2004,406,R,45,455,10,3,0,3,0,0,3,0,0,0
2004,406,SUM,45,455,10,3,0,3,0,0,3,0,0,0
2004,410,N,457,3810,8,120,80,30,7,97,23,12,16,52
2004,410,R,1789,11049,6,773,176,543,54,109,664,16,27,128
2004,410,SUM,2246,14858,7,893,256,573,62,206,687,28,43,180
2004,411,N,54,349,7,11,10,1,0,10,1,0,0,10
2004,411,R,704,4129,6,168,52,104,12,22,146,4,10,37
2004,411,SUM,758,4478,6,179,61,105,12,31,147,4,10,47
2004,412,N,41,259,6,12,8,4,0,6,6,2,2,5
2004,412,R,311,1928,6,72,26,33,13,11,61,0,2,24
